Q2,Q3,Q7,Q8,Q11,Q12,Q13,Q13_B,Q13_C,Q13_D,Q13_E,Q13_F,Q14,Q15,Q15_B,Q15_C,Q15_D,Q16,Q17,Q17_B,Q18,Q19,Q19_B,Q19_C,Q19_D,Q19_E,Q19_F,Q19_G,Q19_H,Q20,Q20_B,Q21,Q22,Q22_B,Q23,Q24,Q24_B,Q24_C,Q24_D,Q24_E,Q24_F,Q24_G,Q24_H,Q24_I,Q24_J,Q24_K,Q24_L,Q25
Men,> 35,Masters or lower,Non-academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,NA,Primarily as part of a job or educational course;,Agree,Agree,No opinion,No opinion,Yes,Good for statistical analysis,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,Online forum to discuss R-related issues,NA,NA,457
Men,> 35,Masters or lower,Non-academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,For both recreational and job/educational purposes.,Strongly agree,Agree,Disagree,Strongly disagree,Yes,Good for statistical analysis,NA,Yes,The R mailing lists,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,Mailing list,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465
Men,> 35,Doctorate/Professional,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Agree,Strongly agree,Disagree,Agree,Yes,Good for reproducible research,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,779
Women,35 or under,Doctorate/Professional,Non-academic,5-10 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Strongly agree,Strongly agree,Disagree,Disagree,Yes,Good for statistical analysis,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,The Bioconductor support site,NA,NA,Blog,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,842
Women,> 35,Masters or lower,Academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,No opinion,Agree,Disagree,No opinion,Yes,Good for reproducible research,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Mailing list,NA,No,NA,NA,Other (please specify),NA,NA,Free local introductory R workshops,NA,NA,NA,NA,NA,NA,Online forum to discuss R-related issues,NA,NA,829
Women,35 or under,Masters or lower,Non-academic,5-10 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Agree,No opinion,Disagree,Disagree,Yes,Free,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,Other (please specify),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274
Men,35 or under,Masters or lower,NA,2-5 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,For both recreational and job/educational purposes.,Strongly agree,Agree,Disagree,Disagree,Yes,Open source,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,R-Bloggers,Mailing list,NA,Yes,A general user group,NA,Other (please specify),NA,NA,NA,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,NA,NA,NA,382
Men,35 or under,Doctorate/Professional,Non-academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Yes,Good for statistical analysis,NA,Yes,The R mailing lists,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,RSS feed,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555
Women,35 or under,Masters or lower,Non-academic,< 2 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,For both recreational and job/educational purposes.,Strongly agree,Strongly agree,Disagree,Strongly disagree,Yes,Good for automating repetitive tasks,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Podcast,NA,No,NA,NA,I am too busy,New R user group near me (specify location in comments box),NA,NA,Paid local advanced R workshops,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,NA,NA,NA,800
Men,> 35,Doctorate/Professional,Non-academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,NA,Primarily as part of a job or educational course;,Agree,Agree,Disagree,Disagree,Yes,Flexible/extensible/scalable,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Mailing list,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651
Women,35 or under,Doctorate/Professional,Academic,< 2 years,Yes,I use functions from existing R packages to analyze data,NA,NA,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Agree,No opinion,Agree,Yes,Good for statistical analysis,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),NA,NA,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,790
Women,> 35,Doctorate/Professional,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Strongly agree,Agree,Strongly disagree,Strongly disagree,Yes,Good for statistical analysis,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Blog,NA,No,NA,NA,NA,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568
Men,> 35,Masters or lower,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,NA,Primarily as part of a job or educational course;,Agree,No opinion,Disagree,Disagree,Yes,Open source,NA,Yes,The R mailing lists,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,Mailing list,NA,Yes,A general user group,NA,NA,NA,New R user group near me aimed at my demographic (specify relevant group in comments box),NA,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,NA,NA,NA,241
Men,> 35,Doctorate/Professional,Non-academic,5-10 years,Yes,NA,NA,I write R functions for use by myself or my collaborators,NA,NA,NA,For both recreational and job/educational purposes.,Strongly agree,Agree,Disagree,Agree,Yes,Interactive/functional programming style,NA,No,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,RSS feed,NA,Yes,A general user group,NA,NA,New R user group near me (specify location in comments box),NA,Free local introductory R workshops,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
Women,> 35,Doctorate/Professional,Academic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484
Women,35 or under,NA,NA,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,NA,No opinion,Agree,Disagree,Disagree,Yes,Wide range of packages,NA,No,The R mailing lists,NA,NA,NA,NA,NA,NA,NA,Website,NA,Yes,A user group within a university,NA,NA,NA,NA,Free local introductory R workshops,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,Online forum to discuss R-related issues,NA,NA,555
Men,> 35,Masters or lower,Academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Agree,Strongly agree,Strongly disagree,No opinion,Yes,Good for statistical analysis,NA,Yes,The R mailing lists,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,The Bioconductor support site,NA,NA,Blog,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,907
Men,> 35,Doctorate/Professional,Academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Strongly agree,Agree,Disagree,Strongly disagree,Yes,Good for statistical analysis,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
Women,> 35,Masters or lower,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,NA,For both recreational and job/educational purposes.,Agree,No opinion,Disagree,Strongly disagree,Yes,Good for reproducible research,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,Other (please specify),NA,New R user group near me aimed at my demographic (specify relevant group in comments box),NA,NA,NA,NA,NA,NA,NA,Online forum to discuss R-related issues,Online support group for my demographic (specify relevant group in comments box),NA,22
Men,35 or under,Masters or lower,Non-academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,NA,For both recreational and job/educational purposes.,Strongly agree,Agree,Strongly disagree,Disagree,Yes,Interactive/functional programming style,NA,Yes,NA,The #rstats hashtag on Twitter,NA,NA,NA,NA,NA,NA,Blog,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,789
Men,> 35,Masters or lower,Non-academic,< 2 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",NA,NA,NA,NA,Primarily as part of a job or educational course;,Strongly agree,Agree,Disagree,Agree,Yes,Wide range of packages,NA,No,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Mailing list,NA,No,NA,NA,Other (please specify),New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,588
Men,35 or under,Masters or lower,Non-academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,NA,For both recreational and job/educational purposes.,Strongly agree,Strongly agree,Disagree,Strongly disagree,Yes,Open source,NA,Yes,The R mailing lists,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,Mailing list,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,703
Men,> 35,Doctorate/Professional,Academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Agree,Agree,No opinion,No opinion,Yes,Other (please specify),"I would have ticked free if it is meant as Richard Stallman defines it: freedom to run, copy, distribute, study, change and improve the software",Yes,The R mailing lists,The #rstats hashtag on Twitter,NA,NA,NA,NA,NA,Here is a really good French site: http://rug.mnhn.fr/semin-r/,Twitter,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,R workshop aimed at my demographic (specify relevant group in comments box),NA,Training in non-English language (specify language in comments box),NA,NA,NA,NA,920
Women,35 or under,Doctorate/Professional,Academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,NA,Primarily as part of a job or educational course;,Strongly agree,No opinion,Disagree,Disagree,Yes,Widely used in my field,NA,No,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Facebook,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Women,> 35,Doctorate/Professional,Non-academic,< 2 years,Yes,I use functions from existing R packages to analyze data,NA,NA,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Agree,Agree,Disagree,Yes,Free,NA,Yes,The R mailing lists,NA,NA,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,I am too busy,NA,NA,Free local introductory R workshops,Paid local advanced R workshops,NA,NA,NA,NA,NA,NA,NA,NA,194
Women,35 or under,Masters or lower,Non-academic,< 2 years,No,I use functions from existing R packages to analyze data,NA,NA,NA,NA,NA,For both recreational and job/educational purposes.,No opinion,No opinion,No opinion,No opinion,Yes,Supportive user community,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126
Women,> 35,Doctorate/Professional,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Strongly agree,Disagree,Disagree,Yes,Widely used in my field,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Blog,NA,No,NA,NA,I am too busy,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374
Men,NA,Doctorate/Professional,Academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Yes,Good for visualisation,NA,No,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Blog,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,R workshop aimed at my demographic (specify relevant group in comments box),NA,NA,NA,NA,NA,NA,208
Men,> 35,Masters or lower,Academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,NA,For both recreational and job/educational purposes.,No opinion,Agree,No opinion,Disagree,No,Too many idiosyncracies,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Blog,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473
Men,35 or under,Masters or lower,Non-academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Strongly agree,Agree,Disagree,Disagree,Yes,Wide range of packages,NA,Yes,NA,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,Facebook,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163
Men,> 35,Doctorate/Professional,Academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Strongly agree,Agree,Disagree,Strongly disagree,Yes,Good for statistical analysis,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,The Bioconductor support site,NA,NA,Website,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417
Men,> 35,Doctorate/Professional,Academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Strongly agree,Agree,Disagree,Disagree,Yes,Flexible/extensible/scalable,NA,Yes,The R mailing lists,NA,NA,NA,NA,NA,NA,NA,Mailing list,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,743
Men,35 or under,Masters or lower,Non-academic,2-5 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Strongly agree,Agree,Disagree,Disagree,Yes,Framework for package creation and sharing,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Facebook,NA,Yes,A general user group,NA,NA,New R user group near me (specify location in comments box),NA,Free local introductory R workshops,NA,NA,NA,NA,NA,NA,NA,NA,NA,175
Men,35 or under,Masters or lower,NA,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Strongly agree,Agree,Disagree,Strongly disagree,Yes,Interactive/functional programming style,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,R manual; R vignettes; JSS; Reading in the R source; Asking colleagues,Mailing list,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,888
Non-Binary/Unknown,35 or under,NA,NA,NA,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,NA,Primarily as part of a job or educational course;,Strongly agree,Agree,Strongly disagree,No opinion,Yes,Good for reproducible research,NA,Yes,The R mailing lists,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,Twitter,NA,No,NA,NA,I am too busy,NA,NA,NA,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,NA,NA,NA,357
Men,35 or under,Masters or lower,Academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,For both recreational and job/educational purposes.,Strongly agree,Strongly agree,Strongly disagree,Disagree,Yes,Good for automating repetitive tasks,NA,No,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Mailing list,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273
