"Name","Mobility","State","Commute","Longitude","Latitude"
"Laurel",0.069207057,"MS",0.32,-89.11618042,31.80095291
"Hattiesburg",0.060510889,"MS",0.358,-89.4493866,31.2641201
"Kosciusko",0.035489667,"MS",0.365,-90.05406189,33.14200211
"Yazoo City",0.024789523,"MS",0.417,-90.47216797,32.89740372
"Jackson",0.037534047,"MS",0.267,-90.22772217,32.29021835
"McComb",0.06252972,"MS",0.341,-90.77793884,31.22748756
"Brookhaven",0.064295486,"MS",0.321,-90.25445557,31.52368927
"Jena",0.126422256,"LA",0.369,-91.97135162,31.58461189
"Natchez",0.048746027,"MS",0.418,-91.43305969,31.63621902
"Vicksburg",0.031178208,"MS",0.379,-91.10588837,32.18022919
"New Orleans",0.051212866,"LA",0.247,-89.90184784,30.04193306
"Houma",0.113469154,"LA",0.414,-90.86232758,29.54486465
"Baton Rouge",0.060396895,"LA",0.258,-91.1708374,30.55099297
"Alexandria",0.067212842,"LA",0.343,-92.33112335,31.32106018
"Lake Charles",0.09711846,"LA",0.369,-93.31432343,30.65583992
"Lafayette",0.095053539,"LA",0.339,-91.95385742,30.21782875
"Monroe",0.055185098,"LA",0.341,-91.72626495,32.35515976
"Lake Providence",0.057306591,"LA",0.393,-91.26551819,32.77008438
"Magnolia",0.060388945,"AR",0.463,-93.62854767,33.26146698
"Shreveport",0.052718505,"LA",0.312,-93.1822052,32.00019455
"Ruston",0.068827927,"LA",0.464,-92.67482758,32.18477631
"Many",0.151607961,"LA",0.306,-93.65673065,31.47786903
"Crossett",0.041538462,"AR",0.502,-92.00921631,33.19678116
"Pine Bluff",0.042829827,"AR",0.396,-91.53390503,33.65812683
"El Dorado",0.056633048,"AR",0.437,-92.50114441,33.57840347
"Little Rock",0.053561717,"AR",0.293,-92.6370163,34.7950592
"Stuttgart",0.053962901,"AR",0.529,-91.34266663,34.43963242
"Searcy",0.089104541,"AR",0.421,-91.45471954,35.38779831
"London",0.063895308,"KY",0.345,-84.00449371,37.02429962
"Richmond",0.059086841,"KY",0.35,-84.13470459,37.58928299
"West Liberty",0.068438537,"KY",0.295,-83.35540009,37.66867828
"Hazard",0.130659372,"KY",0.315,-83.1802063,37.15041733
"Campbellsville",0.071428575,"KY",0.404,-85.2498703,37.22867584
"Somerset",0.06271451,"KY",0.372,-84.5739975,36.70191956
"Greenwood",0.03311066,"MS",0.435,-90.01634979,33.54301834
"Clarksdale",0.027132504,"MS",0.41,-90.24879456,34.18486786
"Greenville",0.02210159,"MS",0.498,-90.98786926,33.28744507
"Jackson",0.047488127,"TN",0.366,-88.89842224,35.67811584
"Dyersburg",0.043111529,"TN",0.442,-89.58396149,35.93906403
"Lexington",0.081659973,"TN",0.341,-88.06002045,35.61417389
"Tupelo",0.043573417,"MS",0.341,-88.69317627,34.01062012
"Corinth",0.06576325,"MS",0.372,-88.3704834,35.05685425
"New Albany",0.054625552,"MS",0.299,-88.96955872,34.65546799
"Memphis",0.028182739,"TN",0.224,-90.06506348,35.03543854
"West Memphis",0.032014072,"AR",0.416,-90.59623718,34.76055145
"Bowling Green",0.064267352,"KY",0.375,-86.36134338,36.97420883
"Glasgow",0.061355766,"KY",0.376,-85.75846863,36.89606476
"Columbia",0.057019267,"TN",0.304,-87.18280792,35.51335907
"Nashville",0.057263449,"TN",0.24,-86.47760773,36.00641632
"Tullahoma",0.061447427,"TN",0.37,-86.30361176,35.46224213
"Dickson",0.071536146,"TN",0.33,-87.84519196,36.08886337
"Clarksville",0.059968848,"TN",0.319,-87.56259918,36.66906738
"Huntsville",0.056676153,"AL",0.286,-86.70026398,34.85558319
"Gadsden",0.071056664,"AL",0.328,-86.07032776,34.31814575
"Florence",0.071067154,"AL",0.33,-87.57102203,35.09656525
"McMinnville",0.057225432,"TN",0.367,-85.67228699,35.87434387
"Cookeville",0.072028808,"TN",0.38,-85.41253662,36.30226135
"Chattanooga",0.057053063,"TN",0.256,-85.33704376,35.15502548
"Crossville",0.070844688,"TN",0.338,-84.98107147,35.91074753
"Ellijay",0.064965196,"GA",0.292,-84.37995911,34.69456863
"Cleveland",0.066822976,"TN",0.343,-84.54332733,35.49681091
"Rome",0.048462134,"GA",0.301,-85.13387299,34.4316864
"Tampa",0.060128428,"FL",0.264,-82.41939545,28.15317154
"Lakeland",0.052058496,"FL",0.289,-81.45503998,27.7498951
"Sarasota",0.068315662,"FL",0.319,-82.26009369,27.17967606
"Miami",0.072966084,"FL",0.198,-80.68955231,25.53691292
"Port St. Lucie",0.062430378,"FL",0.26,-80.82254028,27.12598419
"Cape Coral",0.06019152,"FL",0.273,-81.72699738,26.40024376
"Palm Bay",0.06588921,"FL",0.3,-80.75243378,28.34344292
"Orlando",0.05781661,"FL",0.212,-81.46723938,28.50101662
"Deltona",0.058778916,"FL",0.303,-81.41559601,29.22130966
"Jacksonville",0.04921316,"FL",0.229,-81.72441101,30.44257164
"Lake City",0.049539458,"FL",0.339,-83.19487762,30.13010025
"Ocala",0.056420494,"FL",0.273,-82.14886475,29.16606331
"Gainesville",0.049674656,"FL",0.321,-82.65224457,29.6797657
"Sumter",0.034936708,"SC",0.33,-80.38578033,33.98422623
"Columbia",0.037213266,"SC",0.28,-80.9798584,33.84584045
"Barnwell",0.035372146,"SC",0.349,-81.27600098,32.96419907
"Charleston",0.044469237,"SC",0.269,-80.17147064,33.05682755
"Greenville",0.046985749,"SC",0.308,-82.53110504,34.44403458
"Aiken",0.04104875,"GA",0.275,-82.24224091,33.40648651
"Washington",0.031144781,"GA",0.341,-82.82334137,33.67008591
"Fitzgerald",0.035914704,"GA",0.458,-83.23399353,31.662714
"Cordele",0.03304904,"GA",0.43,-83.58462524,32.03331757
"Valdosta",0.031849012,"GA",0.422,-83.39602661,31.2604084
"Waycross",0.044591744,"GA",0.41,-82.57080078,31.28265572
"Brunswick",0.047382671,"GA",0.348,-81.70886993,31.30237579
"Hinesville",0.048941799,"GA",0.413,-81.78079987,31.78359032
"Statesboro",0.03888889,"GA",0.398,-81.91795349,32.61670685
"Savannah",0.040967092,"GA",0.297,-81.06761169,32.24082565
"Macon",0.032611173,"GA",0.294,-83.92269897,32.52194214
"Vidalia",0.048065297,"GA",0.391,-82.68521881,32.00880432
"Milledgeville",0.032226563,"GA",0.36,-83.06292725,33.15600586
"Dublin",0.032026969,"GA",0.343,-82.78070831,32.71252441
"Atlanta",0.045329735,"GA",0.178,-84.21256256,33.85394287
"Griffin",0.040281329,"GA",0.315,-84.20983887,33.11499786
"Winder",0.037950665,"GA",0.323,-83.34268951,33.97833252
"Toccoa",0.041666668,"GA",0.407,-83.00666809,34.26760864
"Gainesville",0.069715701,"GA",0.269,-83.68614197,34.40371704
"Talladega",0.044903226,"AL",0.339,-86.12513733,33.16389465
"LaGrange",0.052343022,"GA",0.294,-85.4132309,33.52843094
"Columbus",0.034960333,"GA",0.325,-84.77945709,32.64341736
"Americus",0.034407429,"GA",0.409,-84.4287796,32.25788498
"Auburn",0.034264803,"AL",0.38,-85.61174774,32.3696785
"Tallahassee",0.047025815,"FL",0.275,-84.78932953,30.43776703
"Panama City",0.058157489,"FL",0.358,-85.3004837,30.09057236
"Bainbridge",0.039333332,"GA",0.39,-84.77736664,31.03248024
"Thomasville",0.032886196,"GA",0.389,-84.00038147,30.91230774
"Albany",0.027632687,"GA",0.35,-84.15982819,31.53928566
"Eufaula",0.022954924,"GA",0.388,-84.98408508,31.69158554
"Dothan",0.058282208,"AL",0.361,-85.4327774,31.4178009
"Meridian",0.046772875,"MS",0.333,-88.8334198,32.50096512
"Columbus",0.036027852,"MS",0.362,-88.33162689,33.37766266
"Starkville",0.039936103,"MS",0.437,-88.94408417,33.42533875
"Jasper",0.08658836,"AL",0.32,-87.3326416,33.75097656
"Birmingham",0.050431833,"AL",0.22,-86.71453094,33.48544693
"Tuscaloosa",0.040322579,"AL",0.343,-87.35251617,32.83856964
"Demopolis",0.042383045,"AL",0.337,-87.91146088,32.53043365
"Pensacola",0.061206341,"FL",0.309,-86.71443176,30.54620552
"Mobile",0.051398002,"AL",0.267,-87.66625977,31.48696327
"Atmore",0.04778761,"AL",0.39,-87.34468842,31.43723106
"Montgomery",0.033037372,"AL",0.278,-86.40086365,32.29231644
"Troy",0.067988671,"AL",0.409,-86.18945313,31.71072197
"Bluefield",0.110749185,"VA",0.32,-81.58043671,37.13780212
"Welch",0.159914717,"WV",0.263,-81.63934326,37.48999405
"Big Stone Gap",0.103608251,"VA",0.317,-82.72314453,36.91206741
"Fredericksburg",0.094581284,"VA",0.205,-77.42506409,38.09423065
"Baltimore",0.064007394,"MD",0.199,-76.79906464,39.27047348
"Colonial Beach",0.065451533,"VA",0.31,-76.79663086,37.92970657
"Washington DC",0.109811738,"DC",0.16,-77.43247223,38.92647552
"Marquette",0.096565135,"MI",0.501,-86.90974426,46.17255402
"Marinette",0.102725364,"MI",0.525,-88.14826965,45.66835785
"Sault Ste. Marie",0.099183194,"MI",0.539,-84.50015259,46.18471146
"Jackson",0.063088782,"MI",0.356,-84.37745667,41.94454956
"Detroit",0.054592762,"MI",0.243,-83.29550934,42.76761627
"Lansing",0.064116739,"MI",0.356,-84.64868164,42.67588043
"Mount Pleasant",0.064615384,"MI",0.467,-84.76004791,43.56267166
"Saginaw",0.064408086,"MI",0.376,-83.66697693,43.68544769
"Big Rapids",0.074307919,"MI",0.407,-85.3946991,44.03862
"Ludington",0.076073617,"MI",0.493,-86.18423462,44.1229744
"Kalamazoo",0.052623134,"MI",0.36,-85.51405334,42.31286621
"Grand Rapids",0.063729167,"MI",0.344,-85.72640991,43.18898392
"Traverse City",0.074248672,"MI",0.356,-85.53103638,44.85496521
"Petoskey",0.076555021,"MI",0.428,-84.79335022,45.39413834
"Alpena",0.078644067,"MI",0.472,-83.69907379,45.03243637
"Grayling charter",0.074889869,"MI",0.457,-84.43635559,44.68570328
"Dayton",0.048814505,"OH",0.341,-84.10281372,40.02211761
"Washington Court House",0.053333335,"OH",0.345,-83.56276703,39.29486847
"Wayne",0.053981107,"IN",0.464,-85.0427475,39.70461655
"Cincinnati",0.051211949,"OH",0.258,-84.26854706,38.85194016
"Maysville",0.05284553,"KY",0.322,-83.67127991,38.49988937
"Washington",0.106587715,"IN",0.314,-85.06417847,39.06488037
"Lexington-Fayette",0.053744998,"KY",0.345,-84.50816345,38.13208389
"Mount Sterling",0.062291436,"KY",0.323,-83.66343689,38.07839966
"Danville",0.072749689,"KY",0.353,-84.72499084,37.70406342
"Elizabethtown",0.081598945,"KY",0.338,-86.08812714,37.75444794
"Louisville",0.051995486,"KY",0.261,-85.67814636,38.29935837
"Madison",0.093827158,"IN",0.411,-85.39031982,38.69021225
"Bardstown",0.076216713,"KY",0.373,-85.40478516,37.69906235
"Owensboro",0.092302568,"KY",0.387,-86.98169708,37.51974106
"Findlay",0.07361456,"OH",0.457,-83.32746124,40.9678688
"Lima",0.069481768,"OH",0.445,-84.27178955,40.71055603
"Toledo",0.057480805,"OH",0.345,-83.67787933,41.56814575
"Defiance",0.081473216,"OH",0.437,-84.50655365,41.32344437
"South Bend",0.060134567,"IN",0.385,-86.31632233,41.65645599
"Concord",0.073400989,"IN",0.405,-85.493927,41.62029266
"Wayne",0.09151414,"IN",0.439,-85.918396,41.05249786
"Center",0.066135086,"IN",0.451,-86.25926971,40.64786148
"Muncie",0.05317324,"IN",0.417,-85.45487213,40.21401596
"Fort Wayne",0.065946564,"IN",0.352,-85.16653442,41.02527237
"Indianapolis",0.049006324,"IN",0.262,-86.12268829,39.61138535
"Columbus",0.07468643,"IN",0.404,-85.84690857,38.82661057
"Terre Haute",0.082625255,"IN",0.391,-87.31515503,39.5072403
"Lafayette",0.090833567,"IN",0.429,-87.08831787,40.32853699
"Bloomington",0.087185852,"IN",0.397,-86.90383911,38.80783844
"Evansville",0.079238921,"IN",0.366,-87.45471954,38.15335464
"Olney",0.116939887,"IL",0.486,-88.0994873,38.2621994
"Vincennes",0.109839819,"IN",0.488,-87.4358902,38.63715363
"Gary",0.081390135,"IN",0.277,-87.26661682,41.21797562
"Canton",0.064910851,"OH",0.378,-81.46593475,40.51917267
"Lorain",0.056600116,"OH",0.362,-82.36574554,41.23490524
"Cleveland",0.050859265,"OH",0.268,-81.48472595,41.27275467
"Parkersburg",0.070894405,"WV",0.346,-81.44512177,39.19968033
"Zanesville",0.06840761,"OH",0.346,-81.78363037,39.73433304
"Steubenville",0.072718151,"OH",0.378,-80.70169067,40.40331268
"Wheeling",0.125404015,"WV",0.343,-80.80915833,39.63764954
"Scioto",0.064859003,"OH",0.322,-82.91053772,39.01025391
"Athens",0.074712642,"OH",0.359,-82.06299591,38.99756622
"Columbus",0.049094066,"OH",0.271,-82.73168182,39.955513
"Mansfield",0.064460784,"OH",0.403,-82.74056244,40.66580963
"State College",0.113127649,"PA",0.397,-78.18353271,40.85065079
"Altoona",0.102376908,"PA",0.391,-78.6428299,40.21730042
"Pittsburgh",0.09514869,"PA",0.287,-79.5761261,40.56790924
"Youngstown",0.066974595,"OH",0.374,-80.60307312,41.01696014
"Erie",0.075166807,"PA",0.427,-79.50363159,41.37420654
"Roanoke",0.064016424,"VA",0.334,-80.16776276,37.31391525
"Elkins",0.10579937,"WV",0.388,-79.78549194,38.79909134
"Morgantown",0.104958467,"WV",0.336,-80.35366058,39.35725403
"Buckhannon",0.126410842,"WV",0.377,-80.38296509,38.92645645
"Beckley",0.106445029,"WV",0.33,-80.83281708,37.92498398
"Summersville",0.128528968,"WV",0.329,-80.78368378,38.57168579
"Charleston",0.097229391,"WV",0.28,-81.71581268,38.14339447
"Spencer",0.146567717,"WV",0.268,-81.21302032,38.7986145
"Pikeville",0.137840375,"KY",0.295,-82.60514832,37.75734711
"Huntington",0.068505749,"KY",0.343,-82.89046478,38.28934479
"Harrisonburg",0.093889713,"VA",0.378,-78.78279877,38.76070404
"Staunton",0.068016194,"VA",0.344,-79.53544617,37.87011719
"Hagerstown",0.087094583,"PA",0.298,-77.96205902,39.74362564
"Cumberland",0.096905537,"MD",0.373,-78.82687378,39.27354431
"Winchester",0.097297296,"VA",0.301,-78.40023041,39.2103653
"Charlottesville",0.061382599,"VA",0.282,-78.23338318,38.04182434
"Syracuse",0.076672107,"NY",0.378,-75.67182922,43.08464432
"Oneonta",0.092883892,"NY",0.405,-75.07049561,42.43946075
"Union",0.088044025,"NY",0.363,-76.06998444,42.13432312
"Buffalo",0.066782549,"NY",0.333,-77.76609039,42.73807144
"Elmira",0.093692213,"NY",0.411,-76.85247803,42.32451248
"Olean",0.080133051,"NY",0.455,-78.44786835,42.10640717
"St. Marys",0.162983432,"PA",0.53,-78.66275787,41.396698
"Watertown",0.101180442,"NY",0.471,-75.53928375,44.10338974
"Plattsburgh",0.085456684,"NY",0.47,-73.71260071,44.33129883
"Amsterdam",0.082840234,"NY",0.416,-74.45137024,43.28619766
"Albany",0.083333336,"NY",0.317,-73.85891724,42.85723114
"Sunbury",0.111366771,"PA",0.396,-76.88127136,40.85955429
"Scranton",0.107453175,"PA",0.351,-75.54238892,41.28376007
"Williamsport",0.10162095,"PA",0.414,-77.2385025,41.27748489
"Allentown",0.082631499,"PA",0.329,-75.45980835,40.84012222
"Reading",0.096309543,"PA",0.344,-76.25319672,40.15399551
"Harrisburg",0.079268292,"PA",0.314,-77.17478943,40.30975342
"Poughkeepsie",0.094835781,"NY",0.301,-74.45875549,41.72276306
"New York",0.105000839,"NY",0.156,-73.49343109,40.88682938
"Toms River",0.122297861,"NJ",0.263,-74.32274628,40.02758789
"Newark",0.10242597,"NJ",0.234,-74.64870453,40.71062469
"Philadelphia",0.074011669,"PA",0.246,-75.30618286,39.86660767
"Wilmington",0.065723926,"DE",0.251,-75.74407959,39.5715065
"Dover",0.062596008,"DE",0.358,-75.53298187,38.53848267
"Easton",0.062635928,"MD",0.32,-76.04237366,38.78691483
"Chincoteague",0.044514105,"VA",0.393,-75.69618988,37.67191696
"Bangor",0.080909684,"ME",0.403,-69.06671143,44.96829987
"Calais",0.068027213,"ME",0.493,-67.60500336,44.99893951
"Presque Isle",0.085585587,"ME",0.512,-68.52697754,46.39647675
"Portland",0.080598019,"ME",0.363,-69.93924713,44.73403549
"Burlington",0.093187854,"VT",0.366,-73.03452301,44.06721497
"Berlin",0.083530806,"VT",0.433,-71.77488708,44.49932098
"Claremont",0.078877002,"VT",0.383,-72.26516724,43.81871033
"Providence",0.08209534,"RI",0.328,-71.35980988,41.66811752
"Nantucket",0.081081078,"MA",0.818,-70.06336212,41.30394363
"Oak Bluffs",0.067669176,"MA",0.576,-70.65581512,41.39079666
"Boston",0.104849979,"MA",0.251,-71.18860626,42.21232986
"Manchester",0.100151748,"NH",0.301,-71.29773712,43.47398376
"Keene",0.090111643,"NH",0.407,-72.47473907,43.03258896
"Springfield",0.068050474,"MA",0.342,-72.65020752,42.35914993
"Bridgeport",0.078617893,"CT",0.308,-72.60929108,41.62807083
"Pittsfield",0.086519115,"MA",0.479,-73.05254364,42.69446182
"Ashland",0.091032609,"WI",0.533,-90.64930725,46.1779747
"Houghton",0.102272727,"MI",0.55,-88.50948334,47.14747238
"Ironwood",0.121387281,"MI",0.554,-89.61473083,46.49196243
"Rhinelander",0.106280193,"WI",0.509,-89.08564758,45.83354568
"Rice Lake",0.101526208,"WI",0.499,-91.40962219,45.66728973
"Amery",0.128550068,"WI",0.356,-92.53437805,45.70658493
"Hutchinson",0.17706576,"MN",0.464,-94.22481537,44.80722046
"Redwood Falls",0.197183102,"MN",0.571,-95.05023193,44.57830048
"Mankato",0.126344085,"MN",0.563,-94.4642868,44.21009064
"Owatonna",0.137931034,"MN",0.544,-93.38687897,44.14463806
"St. Cloud",0.126889601,"MN",0.398,-94.03432465,45.58083725
"Minneapolis",0.085201129,"MN",0.264,-93.23178864,45.05221939
"Pine City",0.109697931,"MN",0.342,-92.78715515,45.98841095
"Brainerd",0.084274545,"MN",0.42,-94.17220306,46.69668961
"Rochester",0.142159849,"MN",0.469,-92.44355011,44.23141861
"Austin",0.117732555,"MN",0.555,-93.06188965,43.67218399
"Mason City",0.126598463,"IA",0.58,-93.45683289,43.21741867
"Decorah",0.165714279,"IA",0.542,-92.35417175,43.24679565
"Marshalltown",0.112634674,"IA",0.535,-92.82466125,41.83216476
"Waterloo",0.122465864,"IA",0.492,-92.31318665,42.52837372
"Iowa Falls",0.135761589,"IA",0.561,-93.25441742,42.508255
"Iowa City",0.093184978,"IA",0.432,-91.23965454,41.40127182
"Cedar Rapids",0.117318437,"IA",0.42,-91.63126373,41.99135208
"Ottumwa",0.124497995,"IA",0.493,-92.42608643,41.05661392
"Sheboygan",0.138090819,"WI",0.512,-87.8510437,43.98555756
"Oshkosh",0.114854969,"WI",0.445,-88.80226135,44.00268555
"Green Bay",0.091099039,"WI",0.427,-87.72720337,44.87356949
"Shawano",0.083900228,"WI",0.447,-88.79993439,45.03032303
"Wausau",0.124485269,"WI",0.46,-90.00602722,44.51418686
"Eau Claire",0.113019578,"WI",0.463,-91.52520752,44.42008972
"La Crosse",0.118193328,"WI",0.45,-90.65921021,43.89809799
"Monroe",0.167138815,"WI",0.461,-90.57526398,42.87565613
"Madison",0.092191175,"WI",0.365,-89.6100235,43.44257736
"Dubuque",0.159482762,"IA",0.524,-90.96627045,42.72333527
"Charleston",0.095867768,"IL",0.481,-87.85723114,39.45609665
"Douglas",0.101545252,"IL",0.485,-88.23326874,38.96908188
"Bloomington",0.084586464,"IL",0.496,-88.83870697,40.53173065
"Decatur",0.067792796,"IL",0.451,-88.51911163,39.94065857
"Burlington",0.10227973,"IA",0.502,-91.42779541,40.68011475
"Galesburg",0.08859358,"IL",0.509,-90.22035217,40.5695343
"Davenport",0.080944352,"IL",0.393,-90.50654602,41.42436981
"Clinton",0.113879003,"IA",0.479,-90.47133636,42.00504684
"Peoria",0.071781784,"IL",0.394,-89.7173233,40.54253769
"Kenosha",0.069195643,"WI",0.384,-88.44702911,42.6717453
"Milwaukee",0.04457067,"WI",0.312,-88.32178497,43.20409012
"Bourbonnais",0.073096447,"IL",0.41,-87.91181183,40.95016861
"Chicago",0.064929262,"IL",0.201,-88.18816376,41.79792023
"Rockford",0.073538654,"IL",0.4,-89.56007385,41.98062897
"Rolla",0.079737335,"MO",0.463,-91.39875793,37.53683853
"Farmington",0.085244648,"MO",0.368,-90.24582672,37.76231766
"St. Louis",0.05052314,"MO",0.241,-90.7478714,38.47319794
"Mexico",0.075675674,"MO",0.463,-91.66143799,39.0269928
"Jacksonville",0.09115044,"IL",0.472,-90.40299225,39.73908234
"Springfield",0.067371599,"IL",0.367,-89.57878876,39.91703796
"Edwardsville",0.087293699,"IL",0.336,-90.19770813,39.08047867
"Quincy",0.089620486,"IL",0.496,-91.18981934,39.62505722
"Mountain Home",0.089506172,"AR",0.393,-92.49215698,36.29632187
"West Plains",0.081554875,"MO",0.416,-91.55730438,37.00193787
"Harrison",0.099715099,"AR",0.419,-93.26315308,36.11346817
"Heber Springs",0.109600678,"AR",0.364,-92.12709045,35.77854538
"Batesville",0.096028879,"AR",0.375,-91.62769318,35.98897171
"Henderson",0.099227801,"KY",0.401,-87.76528931,37.48529434
"Union City",0.073929958,"TN",0.403,-89.12158966,36.50653458
"Paducah",0.074477747,"KY",0.378,-88.67106628,37.07408142
"Murray",0.070454545,"KY",0.521,-88.16746521,36.60157776
"Centralia",0.081344374,"IL",0.407,-89.07202148,38.37314224
"Carbondale",0.079047836,"IL",0.418,-89.41007996,37.54735565
"Harrisburg",0.112137206,"IL",0.429,-88.24759674,37.70446014
"Cape Girardeau",0.060051546,"MO",0.436,-89.63217926,36.89881134
"Poplar Bluff",0.066825777,"MO",0.401,-90.49706268,36.88948059
"Blytheville",0.051401869,"AR",0.475,-89.90653992,36.03800964
"Jonesboro",0.081032261,"AR",0.442,-90.70393372,36.14015579
"Roseau",0.1875,"MN",0.533,-95.36074066,48.76197433
"Duluth",0.08911483,"MN",0.437,-92.25388336,47.5231514
"West Cook UT",0.101694912,"MN",0.588,-90.28932953,48.00813675
"International Falls",0.174129352,"MN",0.618,-93.7525177,48.34368896
"Moberly",0.101372756,"MO",0.468,-92.2747879,39.64715195
"Marshall",0.094837934,"MO",0.559,-93.2859726,39.38939667
"Brookfield",0.111922137,"MO",0.475,-93.11956787,39.54138184
"Trenton",0.108333334,"MO",0.497,-93.56001282,40.28865433
"Polk",0.087136932,"MO",0.405,-92.866539,40.38930511
"Centerville",0.146718144,"IA",0.517,-93.18882751,40.80517197
"Kirksville",0.113438048,"MO",0.575,-92.50550079,40.35305405
"Bismarck",0.186741367,"ND",0.541,-101.2413788,46.9527359
"Linton",0.298913032,"ND",0.646,-100.1607513,46.31258011
"Devils Lake",0.096474953,"ND",0.627,-98.72877502,48.07733154
"Carrington",0.333333343,"ND",0.656,-98.86683655,47.59697723
"Turtle Mountain UT",0.082554519,"ND",0.574,-99.52817535,48.65229416
"Minot",0.224178404,"ND",0.606,-101.1829376,48.44352341
"Rugby",0.219101131,"ND",0.665,-99.93865204,47.84067535
"Ekalaka",0.229729727,"SD",0.665,-104.3988113,45.6770401
"Baker",0.212765962,"MT",0.713,-104.4404221,46.33258438
"Bowman",0.469696969,"ND",0.648,-103.4252625,46.33992767
"Lemmon",0.357142866,"ND",0.704,-102.4201126,45.96557999
"Wolf Point",0.094188377,"MT",0.7,-105.2777939,47.97356415
"Plentywood",0.318181813,"MT",0.681,-104.6538086,48.64743423
"Glasgow",0.166064978,"MT",0.697,-107.2980347,47.95127106
"Glendive",0.266666681,"MT",0.735,-104.5802383,47.0760231
"Dickinson",0.329207927,"ND",0.659,-102.6135406,47.3269577
"Sidney",0.250569463,"ND",0.637,-103.9324951,47.97699356
"Williston",0.338308454,"ND",0.702,-103.3398666,48.25440979
"Brookings",0.166666672,"SD",0.64,-97.04569244,44.25271225
"Madison",0.184357539,"SD",0.632,-97.35136414,44.00357819
"Sioux Falls",0.118633144,"SD",0.439,-96.86399841,43.24443817
"Watertown",0.143529415,"SD",0.595,-97.20510864,44.77415466
"Milbank",0.170212761,"MN",0.65,-96.50798798,45.44738388
"Sisseton",0.107066378,"SD",0.563,-97.11304474,45.51088333
"East Corson UT",0.070028015,"SD",0.505,-101.020462,46.02724457
"Mobridge",0.111111112,"SD",0.708,-100.2668533,45.62107849
"Aberdeen",0.199268743,"SD",0.676,-98.89090729,45.33486938
"Bemidji",0.095286883,"MN",0.449,-95.27794647,47.46465683
"Grafton",0.232558146,"ND",0.582,-97.40125275,48.46412659
"Thief River Falls",0.178756475,"MN",0.534,-96.72994995,48.21841431
"Grand Forks",0.127949178,"ND",0.613,-96.84928131,47.63110352
"Fargo",0.135817304,"ND",0.518,-96.80470276,46.78217697
"Lisbon",0.235294119,"ND",0.606,-97.9004364,46.16109848
"Jamestown",0.224056602,"ND",0.667,-98.5546875,46.85998535
"Fergus Falls",0.152307689,"MN",0.526,-95.80510712,45.92772293
"Little Falls",0.164556965,"MN",0.435,-94.59442139,46.23093414
"O'Neill",0.189349115,"NE",0.653,-98.70926666,42.44371033
"Ord",0.239234448,"NE",0.658,-99.01965332,41.7120285
"Ainsworth",0.192052975,"NE",0.67,-99.70069122,42.55544662
"Winner",0.139285713,"SD",0.673,-99.58708954,43.48690033
"Yankton",0.171200007,"SD",0.583,-97.76850891,42.81324005
