"","fare_amount","tip_amount"
"5420377",9.5,1.7
"8619780",52,0
"1866344",13.5,2.85
"2700283",11,2.45
"922396",22.5,0
"394606",8,1.76
"2842026",12.5,2.66
"6675268",7,0
"7116186",27.5,6.8
"1384866",9.5,0
"6769530",13.5,2.95
"5060417",5.5,0.63
"7220788",18,3.85
"2761895",4.5,1.7
"1864501",40.5,2
"4928997",9.5,2.15
"1896786",18,3.75
"2404040",12.5,2.75
"3101625",7.5,0
"114902",12,0
"4258671",8,2.6
"6550832",18,0
"7610212",5.5,1
"6923321",13.5,0
"7230724",12.5,2.5
"8113115",18,0
"2449090",17,3.66
"5235840",5,1
"7746649",11,0
"7719904",19,0
"526157",7.5,1.65
"5016630",9.5,1.75
"4053388",10.5,2.46
"4210594",5.5,1.25
"7488242",3,1
"4094176",10.5,2.46
"5050337",4,0.96
"8294244",5,1.45
"8004751",15,1
"1762625",8.5,1.96
"6886320",12,0
"3684648",10.5,1.5
"699970",35,10.39
"1329533",18,3.76
"5830661",13.5,2.95
"2152802",7.5,0
"6265617",24.5,5.06
"2805856",4.5,0
"6523926",7.5,1.75
"366687",8.5,1
"6274857",7.5,1.65
"3554715",2.5,0
"8290044",5,1.16
"6329234",7,1.55
"3106895",18.5,3.86
"6312743",52,11.71
"3002527",4.5,0
"8674261",14,3.05
"2515092",7,1.56
"1650622",12,2.76
"1922348",52,8
"7251062",8.5,0
"3293867",21,4.35
"7235842",9,0
"3060860",7.5,2.05
"7947820",5.5,1.85
"3695970",10.5,2.82
"2294151",52,0
"2380148",7.5,2.2
"3658838",14,4.44
"3936746",8.5,1.85
"7928420",16.5,3.46
"7082399",16,0
"7640451",18.5,4.8
"4627269",3.5,0.86
"5315412",7.5,1.66
"4549611",3.5,0
"6160425",18.5,2
"5835243",9,0
"1628001",13,0
"752511",4.5,0
"3843919",16,0
"6496282",13,3.58
"1502190",7,0
"575743",12.5,2.76
"7309169",3.5,0.85
"6141516",15,3.26
"5347668",22.5,0
"7620352",20,1
"8011801",17.5,4.58
"1308332",27.5,6.81
"4239072",8.5,0
"5085861",8,0
"5943067",6.5,0
"67059",12,2
"5129896",8.5,2.06
"6901936",5.5,1.26
"1152915",6,1.46
"303614",10,0
"630235",13.5,2.95
"6816323",3.5,0
"3844956",14.5,3.16
"1524571",11,2.35
"5724155",3.5,0
"5187711",6,1.8
"3047927",7,1.95
"1415856",29.5,7.7
"6487318",14,0
"1829580",9,0
"6868107",6.5,1.46
"658683",21.5,5.7
"107061",5,0
"3349083",3,0
"4663948",13,2.75
"1981962",14,3.15
"7082621",5,1
"2486396",5,0.87
"5843577",16,3.46
"6572391",6,0
"2526404",8.5,1.86
"2426261",10,2.26
"7052651",6,2
"3460384",9.5,2
"1949769",5,1.15
"1288508",6.5,1.45
"73102",15,3.15
"6089863",6.5,0.83
"2520294",16.5,3.46
"7869081",7,2.45
"5915709",6.5,1.82
"2066374",25,3
"6727026",9,1
"7099962",5,0
"282199",6,1.46
"5440306",19,6.24
"579146",5,0
"8251376",16,0
"8279516",16.5,2.5
"1390018",26,5.55
"345771",29,6.06
"2969226",8,0
"1018781",6,0
"3748666",16.5,0
"7709683",52,0.1
"5690643",52,11.7
"7226620",11.5,2.55
"92812",6,0
"7605298",6.5,2.19
"2392669",4.5,0.87
"3134580",7,1.75
"1207170",9,1
"4912843",9,1.96
"4236597",6.5,0
"1286807",19.5,5.08
"2124902",18,3.86
"5641990",8,0
"7468997",5.5,0
"3269040",13,1.2
"4535980",10,2.15
"3477961",10,0
"4758662",4.5,0
"4323464",13,0
"459904",15,3.15
"2028681",4,0.7
"2798228",10,0
"7122926",4.5,1.06
"7089804",7,0
"2209961",9.5,1.5
"2764099",19.5,5.31
"4036787",14.5,0
"7818852",50,10
"4051280",52,0
"7817883",10,0.02
"7766478",2.5,0
"1274569",13,2.76
"163909",8.5,2.32
"6149819",9,2.55
"1042592",52,11.7
"2512412",14.5,3.06
"429231",5,1.45
"6155547",10,3.35
"4238808",6,1.7
"2336553",13,0
"2451915",11,0
"3267841",12,2.56
"6329945",16.5,4.3
"6134664",29,6
"3658997",8,0
"7761303",6,0
"2482951",20,1
"7717621",10,3.54
"4731596",9,1.55
"4181785",30,0.02
"3112097",11,2.55
"2745347",37,0
"8702669",15.5,2.52
"1753161",29.5,3
"2342564",4.5,1.58
"207176",14.5,0
"4943121",4.5,0
"2104649",20.5,4.36
"5552392",6,1.5
"921691",3.5,0.86
"1820188",8,0
"4533129",9.5,0
"6949078",7,2.34
"7448115",6.5,0
"3679385",7,0
"7160264",7.5,1
"772447",52,17.57
"4656602",4.5,1.06
"1067393",4.5,1.26
"1628230",15.5,3.25
"4412355",52,11
"6650533",15.5,3.25
"658583",4.5,1.15
"980181",15.5,3.26
"3183661",5.5,1.46
"6972931",8.5,0.49
"7968795",12.5,2.66
"3988090",13.5,2.86
"7531422",7.5,0
"333531",9.5,2.15
"8299933",18,2.5
"3278838",22,4.56
"892979",11.5,2.56
"4435552",8.5,1.95
"1192754",9.5,2.05
"1820887",7,2
"2832817",8.5,2.75
"1061965",14,3.15
"4885708",8.5,1.85
"1132681",40.5,8.35
"4935194",6,0
"8536033",5,0
"2234607",6.5,1.8
"3219586",11,0
"6332526",34,8.1
"6539228",6,1.36
"8425302",9.5,0
"6485739",9,2.06
"1060008",6,0
"5080283",7.5,2.49
"2997397",5.5,0
"3326239",7,2
"5710304",11,0
"6516726",9.5,2.16
"4577777",16.5,1
"7802362",9,3.09
"8005680",55,10
"3215123",11,2.46
"1228178",4.5,1.05
"2664301",11,2.46
"3967325",5.5,0
"3619274",16.5,0
"8642412",9.5,0
"7627564",15.5,4.08
"7575003",52,0
"7702634",13,2.76
"5489353",17.5,3.75
"2646365",5,0
"1889886",7,0
"4364739",9,2.16
"2654908",52,10.56
"2409562",10,0
"6733062",18,1
"1243729",13,2.76
"1712712",7,2.64
"2556036",7,1.56
"5361202",10,2.7
"935753",18,2
"981920",4.5,0
"2807504",15,1
"1332884",26,0
"18589",5.5,0
"4712095",2.5,0
"5607898",10,2.15
"2805909",5.5,1.58
"6881527",6,0
"6371373",26.5,4.24
"3205036",10,2.26
"1009188",6,4
"835138",16,0
"7058374",10.5,2.26
"7791853",34.5,0
"6842368",21.5,0
"2839787",28.5,0
"4720658",5,0.95
"6337265",14.5,0
"3554052",8.5,0
"6751025",52,10.55
"3658981",10,2.15
"1723861",5.5,2
"1470753",24,2.53
"1114191",28.5,9
"207236",9,2.16
"6421962",52,10.56
"2329944",9.5,2.26
"6708466",14.5,1.11
"4856479",8,0
"3368644",4.5,0
"811765",11,2.36
"6754244",9,0
"1521678",41,4.5
"5248525",11.5,1
"1540664",31,5
"2490281",5,0
"5349972",5.5,1.26
"5770735",59,14.56
"7056587",10.5,0
"2384381",13.5,0
"7166389",15,0
"1639859",13,1
"3207664",12.5,0
"8486892",7,1.66
"476186",6.5,0
"7114118",11.5,2.46
"6796353",7,0
"5891865",24.5,4
"4363706",16.5,4.8
"2349364",9.5,0
"3028718",9.5,1.25
"4136279",20.5,4.36
"4182134",10,5
"3033625",9,1.96
"6577632",9,1.96
"3059412",9.5,0
"4202051",17,0
"5647541",15,3
"8411323",8.5,1
"7306000",12,3.2
"8656732",7.5,2.6
"5617772",8,1.76
"1592255",63.5,0
"7442645",9.5,2.82
"2280998",11,2.55
"1798995",9,0
"7310568",35,10
"2230890",10.5,2.25
"8103972",8,2
"3196137",21,4
"1961020",6,2.3
"8424378",18.5,0
"8220652",5.5,0
"660425",22,0
"2252843",52,14.64
"1655646",19,0
"5244472",9.5,2.15
"5306636",12.5,2.66
"2146797",14,2.96
"3590472",29,0
"114519",15.5,3.25
"3993511",13,0
"6665608",7.5,2.08
"7624817",7.5,1.65
"7602141",6.5,1.46
"5121100",10.5,2.26
"3631860",6,0
"1178012",6,0
"2039444",10,2.26
"8458624",10,2.26
"2034661",3.5,0.96
"3507206",11.5,2.55
"568309",5.5,1
"7863221",52,11.71
"2017789",13,2.96
"3893588",21,2.5
"3966474",6.5,0
"6954417",19.5,5.08
"7314394",6.5,1.45
"5752108",7,1.75
"4829222",8,0
"1862614",6,1.22
"5400211",8.5,2
"2557606",13.5,0
"497768",7.5,0
"8043559",13,2.22
"5354496",36.5,7.45
"7570532",5,0
"6334774",52,8.78
"3958416",17.5,1.83
"276208",46,10.61
"7230436",8.5,2.45
"3602838",11,2.35
"2443591",6,1
"749775",19.5,0
"8235343",6.5,1.1
"7824205",12.5,2.75
"7255074",6.5,1.56
"675417",16.5,3.56
"362065",17,3.66
"8100526",12,2.66
"8682481",16.5,0
"1600137",20.5,5.4
"1339595",45,5
"1068071",14,3.16
"6146639",9.5,0
"1365456",8.5,2.05
"1464326",8.5,1.96
"1344816",9,0
"6449708",19,5.08
"5052620",10,2.15
"4281804",5,1.16
"6772261",47,5
"67159",26,5
"1999974",9,2.7
"446955",12,2.55
"970737",9,1.96
"201361",52,9
"3057996",5,1.5
"7555423",28,8.75
"1252665",4.5,1.06
"8426444",25,6.58
"147962",20.5,0
"581963",4,0
"6100007",5,0
"8684827",11,1.7
"2280519",5.5,1.58
"4973551",15.5,0
"3137440",9.5,2.25
"2516488",5,0
"1112210",13,0
"5044230",8.5,0
"1827646",14,1.2
"7000786",11,2.45
"1261566",12,1
"7687522",14,0
"4161185",10,2.2
"4645434",4,0
"2755254",9.5,3.24
"4561082",8.5,1.86
"7652600",2.5,0
"2382760",45,0
"8617864",6.5,2
"5231368",6.5,1.17
"4910426",22.5,4.65
"5048765",10,2.15
"1928075",5.5,1.26
"8021740",10.5,0.5
"7983376",5.5,1.26
"7220313",7,2.45
"3857534",3,0.86
"3568785",6,0
"1025897",9.5,2.06
"6228805",11,2.35
"5848055",9,0
"2847027",10.5,0
"7179718",27,0
"3184726",13.5,3.05
"663022",9.5,2.16
"2993673",5.5,1.26
"8389952",5,2
"3776713",11.5,1.08
"252177",5.5,0
"587458",20,0
"4520284",6,1
"1308602",10.5,0
"787901",20,4.16
"8078193",40,7.13
"4800087",10,0
"5362722",45.5,0
"13600",5,1.85
"3863367",9.5,0
"4367500",8,1.5
"3457297",7.5,0.93
"7208585",5.5,1
"7959939",14.5,3.8
"6937915",17,3.56
"4176427",12.5,2.75
"4608847",5,1.45
"8586864",16.5,3.46
"2185280",8.5,1.86
"4952533",8,0
"7110925",4,0
"4083022",5,1.7
"8208266",12.5,0
"800334",7.5,0
"1915214",28,6.9
"6490249",12,3
"7740433",4.5,1.26
"656257",14.5,1.5
"572395",20.5,5.45
"46514",9.5,0
"8660052",10,1
"3791221",11,0
"1810693",-4.5,0
"4616641",4.5,1.05
"7934121",6,1.36
"6816228",5.5,1.26
"8706809",15,0
"3247651",4,0
"1635731",4,0.96
"4207701",10.5,2.26
"5405949",5,0
"7598004",18,3.76
"8334797",17.5,0
"1668572",16.5,3
"333572",6.5,1.56
"2426312",25.5,8.14
"1260023",16,3.36
"2698798",6,1
"6611193",9.5,2.06
"4691763",8,0
"3129606",7.5,2.32
"8551120",20.5,4.26
"7716324",6.5,1.66
"6274220",13.5,2.5
"6616776",6.5,0
"8263975",8.5,0
"8411786",21,0
"5437604",11.5,2.66
"6117077",27,0
"8662561",9,1.55
"266020",16,3.45
"2660633",23,0
"5326843",5,0
"3178136",12,2.76
"6305052",11.5,0
"1702685",15.5,3.45
"1289564",51.5,10.45
"2834756",5.5,1.25
"6740817",52,0
"5739723",8.5,0
"6579902",14,0
"1562446",15.5,0
"2425613",61.5,0
"8506656",27.5,0
"2997875",39.5,8.05
"7507937",6.5,1
"5863515",8,0
"6809411",10.5,0
"4314119",10.5,2.26
"5198349",4.5,1.7
"7033176",6.5,1.3
"8232504",10.5,2.26
"7863766",3.5,0
"2679608",5,0
"8673721",52,12.88
"1225303",6.5,5
"1434679",13.5,0
"8654895",8,2
"3060850",25.5,3.95
"2526907",6.5,1.45
"2593339",4.5,1.55
"5795417",9,2.58
"879782",14,3.8
"7415102",7,1.75
"3155619",31.5,0
"2413919",12,0
"924234",14,1.48
"6954095",32,0
"638776",4.5,1.16
"4608584",8,2
"1729777",12,2.66
"519930",5,1.16
"2663946",11.5,2.56
"4477157",10.5,0
"1449373",8.5,0
"7571265",5,0
"4982191",7.5,0
"1411690",52,14.64
"5646616",14,0
"7145309",9,1.95
"7273718",6.5,1.55
"4954705",26.5,0
"936040",11,2.95
"2761965",7,0
"431683",6,1.36
"5424949",52,0
"1828811",6,1.36
"1441510",5,1.26
"8258169",15,0
"6205309",7,1
"1226554",15,3.95
"2246577",8,0
"5372191",9,1.96
"2301758",7.5,0
"2740822",15.5,3.35
"3336547",11,2.36
"3629124",4.5,1.06
"5603406",4.5,0
"777871",10,2
"4691303",12.5,0
"5507725",13.5,2.96
"1192562",6,1.35
"7016074",52,5
"961932",6.5,0
"1305451",13.5,2.85
"5654677",32.5,7.81
"8458465",9,2.05
"8200660",6,2
"5360658",8,0
"2644294",19.5,4.15
"8173000",49,0
"526018",7,1.56
"276154",18,3.86
"4762944",19,4.05
"3722232",5.5,1.8
"4256706",11,1.3
"5466408",6,1
"2194686",15,3.15
"73166",10,2.16
"5642590",34.5,8.2
"2573398",4,0
"972912",5.5,1
"5939132",8,1
"6372236",5.5,1.46
"4537913",4,2
"1016098",10,2.15
"4600972",6.5,0
"8259816",4.5,1.05
"206116",3.5,0
"522408",6,0
"8274265",19,3.96
"731111",5,2
"1655120",40,0
"6047651",11.5,2.66
"4148376",9.5,2.16
"1798966",10.5,2.36
"1763741",13,2.86
"1725119",9,1.75
"8320262",8,0
"2271758",19,3
"7560883",10,0
"8704517",10.5,3.51
"2993414",10,1
"3514802",5.5,1.35
"3382107",17.5,3.66
"6817259",5,1
"7011231",52,4
"2235535",7.5,1.66
"456260",10.5,2.26
"8648258",50.5,0
"4872812",5,0
"7577008",8,1.75
"854082",6,1.1
"8657947",7.5,2.58
"3938901",18,3.76
"2161633",14.5,3.06
"4023045",18.5,3.85
"7201991",9,1
"8063749",9.5,2.26
"2856722",23,0
"2457810",4,0.5
"6816977",12,0
"2039295",6,1.46
"8406636",8.5,0
"6214871",8.5,1.85
"4495579",6,0
"8074293",19.5,0
"7113930",6.5,1.46
"7431300",6,1.55
"554183",30,0
"4890284",5.5,0
"4801319",5.5,0
"5087356",22.5,0
"3443059",40,0
"1700922",18.5,4.05
"5597567",7,1
"6686200",6,0
"4511923",6,1
"4038337",11.5,2.66
"5710003",8.5,0
"3630268",8,0
"645992",8,1.4
"1476872",40,0
"4751222",5.5,0
"2521819",5,2
"4061456",5.5,0
"5866140",10,1.13
"885113",10.5,3
"3909359",20.5,5
"7731840",6,1.95
"325638",19.5,4.15
"2084140",8,0.47
"6578797",4.5,1.06
"7515433",6.5,1
"1850074",10.5,1
"776613",5,0
"6127049",20.5,0
"8690660",7.5,0
"5739409",5.5,1.25
"4719928",9.5,2.16
"4806067",4,1
"4994698",11,0
"3854166",3.5,0.5
"3363939",9.5,2.06
"7705018",6.5,1.83
"483751",3.5,0
"653100",7.5,0
"1108605",11.5,2.66
"5423601",9,2.16
"5844061",23.5,0
"2025311",12,3
"8188334",5.5,1.89
"7407909",13.5,0
"5631670",9,0
"2709217",18.5,4.95
"1857103",9.5,3.09
"2645444",15.5,2.5
"6999413",52,11.71
"8477562",3.5,1.2
"3559465",6.5,1
"6536652",10.5,0
"1576895",6,0
"1760372",6,1.46
"5609717",12,2.55
"5396563",32.5,7.8
"8445887",3.5,0
"1990835",22.5,0
"2933135",5.5,1.36
"5770247",7,1.76
"1733202",14,3.06
"3701790",14,2
"6230404",7.5,1
"8210977",8,2.2
"5095835",18.5,0
"4616546",7,0
"3730839",9.5,2.25
"7564172",6,0
"8150728",13,2.86
"399624",11,0
"6102570",11.5,2.66
"6553237",6.5,1
"8591463",6.5,0
"4438783",8.5,0
"2634704",31.5,0
"4450593",9.5,0
"1011057",12.5,2.66
"1409387",6.5,0
"2186752",6.5,1.45
"2219478",6,0
"419361",19,3.96
"7880292",5.5,0.94
"2840181",21.5,5
"5703825",24,4.95
"7703329",52,0
"6489945",12.5,2.75
"1180420",9.5,2.16
"8527474",7,0
"2570288",6,1.36
"6934749",3,0
"7774296",5.5,2.19
"6479409",23.5,4.95
"127133",7.5,0
"4680133",10,1
"4814907",6.5,0
"8064559",4.5,0.94
"6763729",16,2
"6698077",5.5,1.25
"5692955",4,0
"6620903",4.5,1.05
"5863289",7,0
"4344810",5.5,0
"2573229",28,2
"7788911",4.5,1.16
"1842379",16,3.36
"7734921",11.5,0
"7231855",6,1.82
"1782255",8.5,0
"3817605",4,0
"1324498",15.5,0
"6823358",29.5,0
"6604859",7,0
"7338916",10.5,0
"3738305",23.5,5.06
"346617",14,3.8
"7179492",23,0
"5661439",16,0
"1169794",21,2.7
"2294355",5,0
"8495371",6.5,1.46
"1111722",28.5,7.2
"3711123",48,0
"8233",52,10.56
"3464840",10,1
"6844140",8,0
"1494237",7.5,0
"396396",6,1.02
"2877991",17.5,3.65
"811973",34,6.96
"7679739",6.5,1.45
"6331732",22,5.7
"2740673",8,0
"3170005",7,2.2
"101616",7.5,1.66
"3795192",8.5,0
"3844091",21.5,4.56
"5755770",6,1.56
"5634212",22,5.7
"904265",22,5.82
"282929",8,0.93
"1887259",8,2.6
"8199571",9.5,2
"1533212",7,0
"4481530",3.5,0
"5671650",12.5,2.66
"6418215",7,1.66
"7844648",14,3.82
"3289020",6,0.5
"1067315",10.5,2.46
"7597383",7,1.2
"6433075",19,2
"7036802",11,3.54
"7969840",6.5,1.45
"8129916",30.5,6.35
"6182016",14,3.06
"3091118",8.5,1.75
"7779790",5.5,0
"7317753",8,1.76
"8513826",9,2.45
"1029351",9,1.95
"6057235",10.5,2.46
"1552217",5,1.74
"6450486",12.5,2
"7147918",10,2.16
"1657150",5,1.35
"5652325",5.5,0
"1722645",17.5,3.75
"541822",11,2.35
"1238295",14,3.7
"3756119",35,0
"32119",4.5,0
"4117255",10,3.35
"4806385",6,0
"6636578",14.5,0
"7544253",7,2.49
"6905151",14,2
"3185731",4,0
"4034498",6.5,0
"4992595",5.5,0
"4020688",41.5,9.61
"5899904",11.5,1.4
"836368",4,1.2
"286172",8.5,1.96
"3148689",17.5,0
"8680043",13,0
"5121510",6.5,0
"5043022",6,0
"946292",6.5,1.46
"5585265",9,0
"3678447",60,12.05
"5355340",5.5,0
"3096092",24.5,5.06
"4471905",26,0
"8090375",6.5,1.95
"8360442",4.5,0
"4315694",8.5,1.85
"5128019",5,2
"823317",12.5,2.66
"1478192",22,4.66
"7348859",10,0
"245546",6,1.56
"7956505",23,0
"5346433",15.5,3.26
"6786430",13,0
"3734072",5.5,1.46
"7207652",8.5,0
"4210346",7,1.95
"3863547",52,9
"447505",34.5,10.59
"5340411",17,3.55
"34104",52,11.71
"3894696",13,2.75
"5140491",6,2
"7823638",8.5,1.95
"3336691",19.5,3
"2122219",13,2
"5670720",5,0
"401546",9.5,2.06
"7875269",5,0.87
"5773825",24,5.16
"7161999",4,1.7
"7669751",29.5,7.2
"4399747",9,2.05
"7177681",6,4
"4105763",17.5,3.76
"1415375",10,2
"719406",52,4
"7126289",17,0
"7171342",12.5,0
"5593629",4,1.2
"8121165",9.5,2.16
"3031026",8,0
"2821508",7,1
"2116336",9,0
"8049585",10,2
"1783428",4,1
"803084",12.5,2.5
"3664129",6.5,0
"1900156",17.5,3.66
"6054681",7.5,2.75
"2833822",52,14.64
"2238023",3.5,0.43
"6890060",6.5,0
"5390596",19.5,0
"3838131",16.5,2
"5672551",10,1.94
"2234124",27.5,0
"3218198",10.5,2.36
"8242775",14,1.2
"4425121",5,0
"3077554",9.5,2.05
"6071593",11.5,0
"2090390",15,1.7
"7985259",5,0
"1918272",32.5,7.81
"1643611",5.5,1.45
"489724",16.5,3.11
"3020746",9,1
"4090452",8.5,0
"3260408",13.5,1.4
"4570616",6,0.68
"5784529",5.5,0.7
"2330104",9,0
"7801716",13.5,2
"6309419",10,2.16
"4652487",4,0
"2098333",14,3.06
"8103469",13.5,2.95
"8264084",9,0
"830731",12,2
"7768957",9,2
"1162017",12,2.66
"4416319",11,0
"3937277",10.5,1
"1781822",25,6.55
"8019716",5,1.22
"4995077",4.5,0
"8681947",6.5,1.56
"1626466",8,1.75
"3507972",12.5,0
"5122373",7.5,1.66
"8324788",47.5,0
"2259476",8,2.2
"310616",6,0
"5020729",6.5,0.88
"6272731",9.5,0
"2744756",16,1
"7704487",11,2.35
"3688649",9,0
"3411369",12,0
"5020525",15.5,3.25
"7300675",7.5,2.08
"5806344",11.5,2.3
"605470",17.5,4.7
"65525",6,0
"7974834",4,0.5
"5145483",14.5,3.26
"19507",7.5,1.75
"7363237",49,0
"3494579",6,0
"3883813",7,1.95
"2120039",24,0
"3968586",40.5,6.19
"2353211",8.5,2.45
"1424655",10.5,0
"5951181",10.5,2.82
"1073574",6,0
"2190515",13.5,0
"738160",16,3.36
"2122942",16,1.7
"4048211",14.5,0
"902411",40.5,0
"5055838",7.5,0
"3921034",24,7.4
"6575805",5.5,1.58
"2563317",37.5,7.5
"4435239",8,0
"3127952",19,5
"3896281",5,1.16
"4211408",4.5,0
"4753641",9.5,1
"5151047",10,0
"7459878",9,1.08
"5645064",3.5,0.86
"3613753",13.5,2.86
"1204173",28.5,5.86
"5873207",5.5,0
"6866772",34.5,8.21
"6305050",6,0
"7760975",22,5.95
"854288",6,0
"2253413",5.5,1.26
"2837779",5.5,1.26
"2604141",13,2.76
"6159312",27,0
"2830900",10,2.16
"141210",21.5,2
"5748934",6,1.95
"4487560",11,2
"6854945",14.5,5.55
"8640346",5.5,1.26
"2798277",20,0
"7738493",8,1.96
"892777",19,1
"4029392",13,2.96
"3716698",17.5,3.86
"2860598",5,1.15
"4552786",15,3.16
"3945076",4.5,1.06
"5439094",5,0
"2860204",23,2.5
"4090987",12,1
"7592676",11,0
"4929489",11,2.46
"739065",10.5,2.26
"8536782",10.5,2.26
"2563639",10,0
"8126841",15.5,0
"5814265",23,6.01
"4143610",12,3.3
"8711698",34,0
"98787",12,0
"5314994",14,2.96
"2837781",25,3
"2738620",8,2.32
"5057688",5.5,1.26
"7570587",17.5,0
"1393522",5.5,0
"6734072",15,4.05
"885077",15,1
"8204746",10.5,0
"7244108",54.5,0
"878293",39,11.52
"3579588",36.5,8.6
"3318603",23,5
"8515320",7,0
"6160506",15,3
"3351475",19,1.98
"594255",8.5,0
"78695",14,3.7
"787006",7,2.3
"656926",14,3.05
"221541",10.5,2.46
"1744703",26,0
"7543405",8,0
"862384",8.5,0
"2080011",5.5,1.7
"4760303",8.5,1
"3396852",67,0
"3255124",6,1.45
"1136340",7,1.66
"8184057",6,0
"6741585",11.5,2.3
"126209",6,0
"1371154",5.5,0.73
"2990111",52,0
"6656499",4.5,0
"5262082",5,1.85
"3819600",10.5,2.95
"7936545",9,5
"2071629",8.5,1
"732394",11.5,1
"960509",11,2.95
"5344771",6.5,1
"2236847",4,1.2
"367014",7,1.65
"7016475",14,3.05
"7001073",15.5,3.36
"1984302",12,2.76
"1381211",11.5,2.65
"3781809",8.5,0
"834536",13.5,0
"3806486",13,0
"1581093",11,0
"7042567",27.5,5.66
"1781439",11.5,3.8
"5353853",25.5,7.89
"3026762",9.5,2.06
"5391297",8,1.76
"1009867",14.5,3.82
"6933833",19,0
"3991406",7,3
"8426778",4.5,1.15
"6777598",14,3.82
"5258563",14.5,3.15
"8285448",3.5,0
"8453423",12.5,2.76
"1373773",11.5,1
"1219074",15.5,3.25
"5138941",9.5,0
"3433504",10,2.36
"4520390",5.5,0
"1260186",32,0
"6008462",21,4.35
"5612537",10,3.2
"1744090",9,2.05
"6170028",9.5,0
"2239883",9,0
"1062178",5.5,0
"1733380",6,1
"2796143",25,5.16
"8289125",23.5,0
"3433302",5,0
"347131",28,5.86
"563959",6,0.9
"6841713",32.5,0
"663925",2.5,0.75
"209797",5,1.02
"6752195",5.5,0
"5164879",43,0
"5922237",12.5,2.65
"6861786",4.5,1.3
"6541828",29,0
"7123694",17.5,3.66
"5941897",8,1.75
"7395935",22,4.56
"2087427",11,2.46
"884968",52,0
"1107913",10,2.36
"8513611",10.5,2.26
"2110240",21.5,4.56
"4670498",5,1.15
"6942618",7,2.2
"4125850",8.5,1.96
"2143416",7,2
"528079",12,0
"7356344",33,7
"6851697",43.5,8.85
"5404448",4,0.95
"6609401",11,1.18
"2764809",14,0
"7769107",14.5,3.26
"2543227",6.5,1.1
"2396423",13,2.86
"5501626",9.5,2.16
"66442",7,0
"3269255",11.5,1.23
"8198244",7,1.95
"1275239",15,2
"3890521",8.5,1.86
"6866980",6,3
"2313401",17,3.75
"1474445",6,1.46
"4668539",10,1
"4116055",8.5,1.95
"1177488",4,0
"5779795",21.5,5.82
"5686372",23,4.76
"8670511",14,1
"6172984",10,1.7
"7190605",7,2.2
"5122636",11,0
"5684512",17,2
"8702101",11,3.08
"1668413",12.5,0
"63335",15,3.16
"1938804",7,0
"8183133",28,5.86
"4111751",7,1.49
"4914485",13.5,0
"2700213",4.5,0
"6001800",5.5,1.25
